(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Zwischenergebnis;;;;;;;;;;;;;;;
Stand:;23.02.2025;21:50;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Ungültige;-2;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Gültige;-1;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Gültige;-1;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SPD;1;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SPD;1;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;CDU;2;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;CDU;2;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;GRÜNE;3;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;GRÜNE;3;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FDP;4;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FDP;4;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;AfD;5;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;AfD;5;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die Linke;6;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die Linke;6;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SSW;7;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SSW;7;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die PARTEI;8;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die PARTEI;8;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FREIE WÄHLER;9;1;;;;;;;;
